Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,42000,42000.0,42000.0,42000,242,164.0,68.880,68.880
2024-04-11,42000,,,42000,0,0.0,0,0
2024-05-11,41800,41800.0,41800.0,41800,-48,13.0,5.434,5.434
2024-06-11,41500,41500.0,41500.0,41500,-72,504.0,209.160,209.160
2024-07-11,41000,41100.0,41000.0,41029,-113,700.0,287.200,287.200
2024-08-11,41000,41000.0,40700.0,40847,-44,1.146,468.110,468.110
2024-10-10,43700,43700.0,43700.0,43700,0,50.0,21.850,21.850
2024-10-14,43700,,,43700,0,0.0,0,0
2024-10-15,43700,,,43700,0,0.0,0,0
2024-10-16,41500,43600.0,41500.0,42142,-357,288.0,121.368,121.368
2024-10-17,41500,,,42142,0,0.0,0,0
2024-10-18,43000,43000.0,43000.0,43000,204,38.0,16.340,16.340
2024-10-21,43000,,,43000,0,0.0,0,0
2024-10-22,43000,,,43000,0,0.0,0,0
2024-10-24,42900,42900.0,42900.0,42900,-23,135.0,57.915,57.915
2024-10-25,41800,41800.0,41800.0,41800,-256,412.0,172.216,172.216
2024-10-28,42700,42700.0,42700.0,42700,215,15.0,6.405,6.405
2024-10-29,42700,,,42700,0,0.0,0,0
2024-10-30,41700,42000.0,41500.0,41602,-257,5.064,2.106.748,2.106.748
2024-10-31,41000,42000.0,41000.0,41007,-143,1.452,595.420,595.420
2024-11-01,42000,42000.0,42000.0,42000,242,164.0,68.880,68.880
2024-11-04,42000,,,42000,0,0.0,0,0
2024-11-05,41800,41800.0,41800.0,41800,-48,13.0,5.434,5.434
2024-11-06,41500,41500.0,41500.0,41500,-72,504.0,209.160,209.160
2024-11-07,41000,41100.0,41000.0,41029,-113,700.0,287.200,287.200
2024-11-08,41000,41000.0,40700.0,40847,-44,1.146,468.110,468.110
,43700,,,43700,0,0.0,0,0
