ADIN,2014-11-13 20:27:03.787454
ALK,2014-11-13 20:27:03.794324
ALKB,2014-11-13 20:27:03.798240
AMEH,2014-11-13 20:27:03.801383
APTK,2014-11-13 20:27:03.804431
ATPP,2014-11-13 20:27:03.807858
AUMK,2014-11-13 20:27:03.810931
BANA,2014-11-13 20:27:03.813758
BGOR,2014-11-13 20:27:03.816565
BIKF,2014-11-13 20:27:03.819368
BIM,2014-11-13 20:27:03.821965
BLTU,2014-11-13 20:27:03.833375
CBNG,2014-11-13 20:27:03.847172
CDHV,2014-11-13 20:27:03.850643
CEVI,2014-11-13 20:27:03.860971
CKB,2014-11-13 20:27:03.869362
CKBKO,2014-11-13 20:27:03.872515
DEBA,2014-11-13 20:27:03.875443
DIMI,2014-11-13 20:27:03.880600
EDST,2014-11-13 20:27:03.883366
ELMA,2014-11-13 20:27:03.885888
ELNC,2014-11-13 20:27:03.888399
ENER,2014-11-13 20:27:03.890759
ENSA,2014-11-13 20:27:03.893041
EUHA,2014-11-13 20:27:03.895244
EUMK,2014-11-13 20:27:03.897705
EVRO,2014-11-13 20:27:03.900218
FAKM,2014-11-13 20:27:03.902405
FERS,2014-11-13 20:27:03.904248
FKTL,2014-11-13 20:27:03.906407
FROT,2014-11-13 20:27:03.908525
FUBT,2014-11-13 20:27:03.910426
GALE,2014-11-13 20:27:03.912627
GDKM,2014-11-13 20:27:03.914539
GECK,2014-11-13 20:27:03.918250
GECT,2014-11-13 20:27:03.920711
GIMS,2014-11-13 20:27:03.923109
GRDN,2014-11-13 20:27:03.925379
GRNT,2014-11-13 20:27:03.927695
GRSN,2014-11-13 20:27:03.938599
GRZD,2014-11-13 20:27:03.946625
GTC,2014-11-13 20:27:03.949442
GTRG,2014-11-13 20:27:03.952087
IJUG,2014-11-13 20:27:03.954186
INB,2014-11-13 20:27:03.956132
INHO,2014-11-13 20:27:03.958059
INOV,2014-11-13 20:27:03.959930
INPR,2014-11-13 20:27:03.961808
INTP,2014-11-13 20:27:03.963678
JAKO,2014-11-13 20:27:03.965513
JUSK,2014-11-13 20:27:03.967406
KARO,2014-11-13 20:27:03.969274
KDFO,2014-11-13 20:27:03.971137
KJUBI,2014-11-13 20:27:03.972974
KKST,2014-11-13 20:27:03.974729
KLST,2014-11-13 20:27:03.976574
KMB,2014-11-13 20:27:03.978413
KMPR,2014-11-13 20:27:03.980257
KOMU,2014-11-13 20:27:03.982116
KONF,2014-11-13 20:27:03.983923
KONZ,2014-11-13 20:27:03.985747
KORZ,2014-11-13 20:27:03.987601
KPSS,2014-11-13 20:27:03.988967
KULT,2014-11-13 20:27:03.991377
KVAS,2014-11-13 20:27:03.994076
LAJO,2014-11-13 20:27:03.997512
LHND,2014-11-13 20:27:04.000806
LOTO,2014-11-13 20:27:04.003078
LOZP,2014-11-13 20:27:04.005665
MAGP,2014-11-13 20:27:04.007776
MAKP,2014-11-13 20:27:04.009791
MAKS,2014-11-13 20:27:04.011836
MB,2014-11-13 20:27:04.014131
MERM,2014-11-13 20:27:04.016296
MKSD,2014-11-13 20:27:04.018386
MLKR,2014-11-13 20:27:04.020873
MODA,2014-11-13 20:27:04.023299
MPOL,2014-11-13 20:27:04.025502
MPT,2014-11-13 20:27:04.027694
MPTE,2014-11-13 20:27:04.030162
MTUR,2014-11-13 20:27:04.032726
MZHE,2014-11-13 20:27:04.034923
MZPU,2014-11-13 20:27:04.037129
NEME,2014-11-13 20:27:04.039618
NOSK,2014-11-13 20:27:04.042182
OBPP,2014-11-13 20:27:04.044764
OILK,2014-11-13 20:27:04.047615
OKTA,2014-11-13 20:27:04.049929
OMOS,2014-11-13 20:27:04.052185
OPFO,2014-11-13 20:27:04.054361
OPTK,2014-11-13 20:27:04.056573
ORAN,2014-11-13 20:27:04.058925
OSPO,2014-11-13 20:27:04.061343
OTEK,2014-11-13 20:27:04.063496
PELK,2014-11-13 20:27:04.065511
PGGV,2014-11-13 20:27:04.067728
PKB,2014-11-13 20:27:04.069777
POPK,2014-11-13 20:27:04.072035
PPIV,2014-11-13 20:27:04.074091
PROD,2014-11-13 20:27:04.076483
PROT,2014-11-13 20:27:04.078788
PTRS,2014-11-13 20:27:04.081351
RADE,2014-11-13 20:27:04.083823
REPL,2014-11-13 20:27:04.085930
RIMI,2014-11-13 20:27:04.087962
RINS,2014-11-13 20:27:04.089885
RZEK,2014-11-13 20:27:04.092195
RZIT,2014-11-13 20:27:04.094300
RZIZ,2014-11-13 20:27:04.096387
RZLE,2014-11-13 20:27:04.098423
RZLV,2014-11-13 20:27:04.100466
RZTK,2014-11-13 20:27:04.102448
RZUG,2014-11-13 20:27:04.104498
RZUS,2014-11-13 20:27:04.106468
SBT,2014-11-13 20:27:04.108428
SDOM,2014-11-13 20:27:04.110389
SIL,2014-11-13 20:27:04.112335
SKON,2014-11-13 20:27:04.114259
SKP,2014-11-13 20:27:04.116161
SLAV,2014-11-13 20:27:04.118110
SNBT,2014-11-13 20:27:04.120048
SNBTO,2014-11-13 20:27:04.121915
SOLN,2014-11-13 20:27:04.123776
SPAZ,2014-11-13 20:27:04.125666
SPAZP,2014-11-13 20:27:04.127599
SPOL,2014-11-13 20:27:04.129522
SSPR,2014-11-13 20:27:04.131306
STB,2014-11-13 20:27:04.133435
STBP,2014-11-13 20:27:04.136559
STIL,2014-11-13 20:27:04.138703
STOK,2014-11-13 20:27:04.140806
TAJM,2014-11-13 20:27:04.142789
TBKO,2014-11-13 20:27:04.144723
TEAL,2014-11-13 20:27:04.146713
TEHN,2014-11-13 20:27:04.148555
TEL,2014-11-13 20:27:04.150581
TETE,2014-11-13 20:27:04.152544
TIKV,2014-11-13 20:27:04.154463
TKPR,2014-11-13 20:27:04.156350
TKVS,2014-11-13 20:27:04.158211
TNB,2014-11-13 20:27:04.160082
TRDB,2014-11-13 20:27:04.161919
TRPS,2014-11-13 20:27:04.163766
TRUB,2014-11-13 20:27:04.165869
TSMP,2014-11-13 20:27:04.167987
TSZS,2014-11-13 20:27:04.170071
TTK,2014-11-13 20:27:04.171905
TTKO,2014-11-13 20:27:04.173949
UNI,2014-11-13 20:27:04.175855
USJE,2014-11-13 20:27:04.177743
VARG,2014-11-13 20:27:04.179618
VFPM,2014-11-13 20:27:04.181713
VITA,2014-11-13 20:27:04.183694
VROS,2014-11-13 20:27:04.185631
VSC,2014-11-13 20:27:04.187166
VTKS,2014-11-13 20:27:04.189440
ZAS,2014-11-13 20:27:04.191723
ZILU,2014-11-13 20:27:04.193931
ZILUP,2014-11-13 20:27:04.196213
ZIMS,2014-11-13 20:27:04.198420
ZKAR,2014-11-13 20:27:04.201672
ZPKO,2014-11-13 20:27:04.203857
ZPOG,2014-11-13 20:27:04.206037
ZUAS,2014-11-13 20:27:04.209784
ADIN,2024-11-08
ALK,2024-11-08
ALKB,2024-11-08
AMEH,2024-11-08
APTK,2024-11-08
ATPP,2024-11-08
AUMK,2024-11-08
BANA,2024-11-08
BGOR,2024-11-08
BIKF,2024-11-08
BIM,2024-11-08
BLTU,2024-11-08
CBNG,2024-11-08
CDHV,2024-11-08
CEVI,2024-11-08
CKB,2024-11-08
CKBKO,2024-11-08
DEBA,2024-11-08
DIMI,2024-11-08
EDST,2024-11-08
ELMA,2024-11-08
ELNC,2024-11-08
ENER,2024-11-08
ENSA,2024-11-08
EUHA,2024-11-08
EUMK,2024-11-08
EVRO,2024-11-08
FAKM,2024-11-08
FERS,2024-11-08
FKTL,2024-11-08
FROT,2024-11-08
FUBT,2024-11-08
GALE,2024-11-08
GDKM,2024-11-08
GECK,2024-11-08
GECT,2024-11-08
GIMS,2024-11-08
GRDN,2024-11-08
GRNT,2024-11-08
GRSN,2024-11-08
GRZD,2024-11-08
GTC,2024-11-08
GTRG,2024-11-08
IJUG,2024-11-08
INB,2024-11-08
INHO,2024-11-08
INOV,2024-11-08
INPR,2024-11-08
INTP,2024-11-08
JAKO,2024-11-08
JUSK,2024-11-08
KARO,2024-11-08
KDFO,2024-11-08
KJUBI,2024-11-08
KKST,2024-11-08
KLST,2024-11-08
KMB,2024-11-08
KMPR,2024-11-08
KOMU,2024-11-08
KONF,2024-11-08
KONZ,2024-11-08
KORZ,2024-11-08
KPSS,2024-11-08
KULT,2024-11-08
KVAS,2024-11-08
LAJO,2024-11-08
LHND,2024-11-08
LOTO,2024-11-08
LOZP,2024-11-08
MAGP,2024-11-08
MAKP,2024-11-08
MAKS,2024-11-08
MB,2024-11-08
MERM,2024-11-08
MKSD,2024-11-08
MLKR,2024-11-08
MODA,2024-11-08
MPOL,2024-11-08
MPT,2024-11-08
MPTE,2024-11-08
MTUR,2024-11-08
MZHE,2024-11-08
MZPU,2024-11-08
NEME,2024-11-08
NOSK,2024-11-08
OBPP,2024-11-08
OILK,2024-11-08
OKTA,2024-11-08
OMOS,2024-11-08
OPFO,2024-11-08
OPTK,2024-11-08
ORAN,2024-11-08
OSPO,2024-11-08
OTEK,2024-11-08
PELK,2024-11-08
PGGV,2024-11-08
PKB,2024-11-08
POPK,2024-11-08
PPIV,2024-11-08
PROD,2024-11-08
PROT,2024-11-08
PTRS,2024-11-08
RADE,2024-11-08
REPL,2024-11-08
RIMI,2024-11-08
RINS,2024-11-08
RZEK,2024-11-08
RZIT,2024-11-08
RZIZ,2024-11-08
RZLE,2024-11-08
RZLV,2024-11-08
RZTK,2024-11-08
RZUG,2024-11-08
RZUS,2024-11-08
SBT,2024-11-08
SDOM,2024-11-08
SIL,2024-11-08
SKON,2024-11-08
SKP,2024-11-08
SLAV,2024-11-08
SNBT,2024-11-08
SNBTO,2024-11-08
SOLN,2024-11-08
SPAZ,2024-11-08
SPAZP,2024-11-08
SPOL,2024-11-08
SSPR,2024-11-08
STB,2024-11-08
STBP,2024-11-08
STIL,2024-11-08
STOK,2024-11-08
TAJM,2024-11-08
TBKO,2024-11-08
TEAL,2024-11-08
TEHN,2024-11-08
TEL,2024-11-08
TETE,2024-11-08
TIKV,2024-11-08
TKPR,2024-11-08
TKVS,2024-11-08
TNB,2024-11-08
TRDB,2024-11-08
TRPS,2024-11-08
TRUB,2024-11-08
TSMP,2024-11-08
TSZS,2024-11-08
TTK,2024-11-08
TTKO,2024-11-08
UNI,2024-11-08
USJE,2024-11-08
VARG,2024-11-08
VFPM,2024-11-08
VITA,2024-11-08
VROS,2024-11-08
VSC,2024-11-08
VTKS,2024-11-08
ZAS,2024-11-08
ZILU,2024-11-08
ZILUP,2024-11-08
ZIMS,2024-11-08
ZKAR,2024-11-08
ZPKO,2024-11-08
ZPOG,2024-11-08
ZUAS,2024-11-08
ADIN,2024-11-08
ALK,2024-11-08
ALKB,2024-11-08
AMEH,2024-11-08
APTK,2024-11-08
ATPP,2024-11-08
AUMK,2024-11-08
BANA,2024-11-08
BGOR,2024-11-08
BIKF,2024-11-08
BIM,2024-11-08
BLTU,2024-11-08
CBNG,2024-11-08
CDHV,2024-11-08
CEVI,2024-11-08
CKB,2024-11-08
CKBKO,2024-11-08
DEBA,2024-11-08
DIMI,2024-11-08
EDST,2024-11-08
ELMA,2024-11-08
ELNC,2024-11-08
ENER,2024-11-08
ENSA,2024-11-08
EUHA,2024-11-08
EUMK,2024-11-08
EVRO,2024-11-08
FAKM,2024-11-08
FERS,2024-11-08
FKTL,2024-11-08
FROT,2024-11-08
FUBT,2024-11-08
GALE,2024-11-08
GDKM,2024-11-08
GECK,2024-11-08
GECT,2024-11-08
GIMS,2024-11-08
GRDN,2024-11-08
GRNT,2024-11-08
GRSN,2024-11-08
GRZD,2024-11-08
GTC,2024-11-08
GTRG,2024-11-08
IJUG,2024-11-08
INB,2024-11-08
INHO,2024-11-08
INOV,2024-11-08
INPR,2024-11-08
INTP,2024-11-08
JAKO,2024-11-08
JUSK,2024-11-08
KARO,2024-11-08
KDFO,2024-11-08
KJUBI,2024-11-08
KKST,2024-11-08
KLST,2024-11-08
KMB,2024-11-08
KMPR,2024-11-08
KOMU,2024-11-08
KONF,2024-11-08
KONZ,2024-11-08
KORZ,2024-11-08
KPSS,2024-11-08
KULT,2024-11-08
KVAS,2024-11-08
LAJO,2024-11-08
LHND,2024-11-08
LOTO,2024-11-08
LOZP,2024-11-08
MAGP,2024-11-08
MAKP,2024-11-08
MAKS,2024-11-08
MB,2024-11-08
MERM,2024-11-08
MKSD,2024-11-08
MLKR,2024-11-08
MODA,2024-11-08
MPOL,2024-11-08
MPT,2024-11-08
MPTE,2024-11-08
MTUR,2024-11-08
MZHE,2024-11-08
MZPU,2024-11-08
NEME,2024-11-08
NOSK,2024-11-08
OBPP,2024-11-08
OILK,2024-11-08
OKTA,2024-11-08
OMOS,2024-11-08
OPFO,2024-11-08
OPTK,2024-11-08
ORAN,2024-11-08
OSPO,2024-11-08
OTEK,2024-11-08
PELK,2024-11-08
PGGV,2024-11-08
PKB,2024-11-08
POPK,2024-11-08
PPIV,2024-11-08
PROD,2024-11-08
PROT,2024-11-08
PTRS,2024-11-08
RADE,2024-11-08
REPL,2024-11-08
RIMI,2024-11-08
RINS,2024-11-08
RZEK,2024-11-08
RZIT,2024-11-08
RZIZ,2024-11-08
RZLE,2024-11-08
RZLV,2024-11-08
RZTK,2024-11-08
RZUG,2024-11-08
RZUS,2024-11-08
SBT,2024-11-08
SDOM,2024-11-08
SIL,2024-11-08
SKON,2024-11-08
SKP,2024-11-08
SLAV,2024-11-08
SNBT,2024-11-08
SNBTO,2024-11-08
SOLN,2024-11-08
SPAZ,2024-11-08
SPAZP,2024-11-08
SPOL,2024-11-08
SSPR,2024-11-08
STB,2024-11-08
STBP,2024-11-08
STIL,2024-11-08
STOK,2024-11-08
TAJM,2024-11-08
TBKO,2024-11-08
TEAL,2024-11-08
TEHN,2024-11-08
TEL,2024-11-08
TETE,2024-11-08
TIKV,2024-11-08
TKPR,2024-11-08
TKVS,2024-11-08
TNB,2024-11-08
TRDB,2024-11-08
TRPS,2024-11-08
TRUB,2024-11-08
TSMP,2024-11-08
TSZS,2024-11-08
TTK,2024-11-08
TTKO,2024-11-08
UNI,2024-11-08
USJE,2024-11-08
VARG,2024-11-08
VFPM,2024-11-08
VITA,2024-11-08
VROS,2024-11-08
VSC,2024-11-08
VTKS,2024-11-08
ZAS,2024-11-08
ZILU,2024-11-08
ZILUP,2024-11-08
ZIMS,2024-11-08
ZKAR,2024-11-08
ZPKO,2024-11-08
ZPOG,2024-11-08
ZUAS,2024-11-08
